paper_id,doi,title,year,venue,topic_bucket,citation_count,priority_score,reasons,url
doi:10.1139/apnm-2024-0461,10.1139/apnm-2024-0461,Effects of pedestal-mounted electric fans on self-reported symptoms and mood-state in older adults exposed to indoor overheating during a simulated heatwave: an exploratory analysis.,2025,"Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme",thermal,0,8.750,on_topic;content_signal_ok,
doi:10.3390/buildings15142577,10.3390/buildings15142577,The Impact of Building Windows on Occupant Well-Being: A Review Integrating Visual and Non-Visual Pathways with Multi-Objective Optimization,2025,Buildings,light,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.3390/app15158686,10.3390/app15158686,NRGS-Net: A Lightweight Uformer with Gated Positional and Local Context Attention for Nighttime Road Glare Suppression,2025,Applied Sciences,cognition,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.17576/jkukm-2025-37(8)-09,10.17576/jkukm-2025-37(8)-09,Daylighting Glare Evaluation in Classrooms,2025,Jurnal Kejuruteraan,light,0,8.750,on_topic;content_signal_ok,
doi:10.1109/SSLCHINAIFWS69008.2025.11314950,10.1109/SSLCHINAIFWS69008.2025.11314950,Automotive Interior Lighting: A study of Subjective Perception and Mood Statues for Napping and Waking Scenarios,2025,China International Forum on Solid State Lighting,light,0,8.750,on_topic;content_signal_ok,
doi:10.1080/00140139.2025.2477622,10.1080/00140139.2025.2477622,"Effect of heart rate, correlated colour temperature and illuminance on human visual perception under LED lighting environments.",2025,Ergonomics,thermal,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.36680/j.itcon.2025.051,10.36680/j.itcon.2025.051,"Application of virtual reality to assess thermal, visual perception, and users' adaptive behaviors for sedentary activities",2025,Journal of Information Technology in Construction,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.3390/su17114923,10.3390/su17114923,Building Sustainable Teaching Careers: The Impact of Diversity Practices on Middle School Teachers’ Job Satisfaction in China and the United States,2025,Sustainability,cognition,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1186/s12913-025-13671-z,10.1186/s12913-025-13671-z,The effect of cooling vest along with hospital full-body protection equipment on physiological and cognitive indicators among hospital nurses: an interventional study.,2025,BMC health services research,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1103/nytl-pnfm,10.1103/nytl-pnfm,Self-organization and emergence of memory in a cyclically driven elastoplastic model of an amorphous solid.,2025,Physical review. E,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.1088/1755-1315/1500/1/012065,10.1088/1755-1315/1500/1/012065,Data-driven smart control for window and HVAC systems in sports space considering thermal comfort and energy efficiency,2025,IOP Conference Series: Earth and Environment,thermal,0,8.750,on_topic;content_signal_ok,
doi:10.3390/buildings15132190,10.3390/buildings15132190,Outdoor Environment Design Optimization of an Office Building Based on Indoor Thermal Conditions and Building Energy Performance,2025,Buildings,thermal,0,8.750,on_topic;content_signal_ok;venue_allowlist,
doi:10.1109/3M-NANO65639.2025.11261142,10.1109/3M-NANO65639.2025.11261142,Simulation Analysis of Thermal Environment in Learning Areas Based on the Climate of Cold Regions,2025,"2025 IEEE International Conference on Manipulation, Manufacturing and Measurement on the Nanoscale (3M-NANO)",thermal,0,8.750,on_topic;content_signal_ok,
