variable,category,source_count,sample_sources
awe_trigger_configuration.source,PSYCH_COG,1,L1:paramsub
awe_trigger_configuration.warrant,PSYCH_COG,1,L1:paramsub
awe_wonder_admiration,PSYCH_COG,1,M7:causal
back_stage_availability,UNCLASSIFIED,1,SOC3:causal
basal_forebrain_cholinergic_system,UNCLASSIFIED,1,T26:causal
baseline_allostatic_cost,NEURAL_PHYS,1,T21:causal
beauty_judgment,UNCLASSIFIED,1,M7:causal
behavioral_capacity,BEHAV_OUTCOME,1,IC2:causal
behavioral_output,BEHAV_OUTCOME,1,DP2:causal
behavioral_performance,BEHAV_OUTCOME,1,T40:causal
behavioral_policy,BEHAV_OUTCOME,1,PP4:causal
behavioral_strategy,BEHAV_OUTCOME,1,T11:causal
beta_gating_efficiency,UNCLASSIFIED,1,T47:causal
boredom_and_reduced_dopaminergic_reward,UNCLASSIFIED,1,T2:mech
boundary_vector_representation,UNCLASSIFIED,1,SN1:causal
brainstem_arousal,UNCLASSIFIED,1,M13:causal
brainstem_encoding_precision,PSYCH_COG,1,T32:causal
broadband_natural_sounds,UNCLASSIFIED,1,T58:causal
budget_deficit,UNCLASSIFIED,1,T29:causal
building_type_expected_complexity,PSYCH_COG,1,T2:architectural_modifier_coefficients
building_ventilation_strategy,UNCLASSIFIED,1,MAT2:causal
cached_place_value,UNCLASSIFIED,1,T41:causal
calibrated_generative_model,UNCLASSIFIED,1,T15:causal
categorical_frame_bias,UNCLASSIFIED,1,T22:mech
cct_arousal_mismatch_cost,UNCLASSIFIED,1,L4:param
cct_arousal_mismatch_cost.note,UNCLASSIFIED,1,L4:paramsub
cct_arousal_mismatch_cost.source,UNCLASSIFIED,1,L4:paramsub
cct_entrainment_suppression_crossover,UNCLASSIFIED,1,L4:param
cct_entrainment_suppression_crossover.note,UNCLASSIFIED,1,L4:paramsub
cct_entrainment_suppression_crossover.source,UNCLASSIFIED,1,L4:paramsub
cct_temporal_prior_reliability,UNCLASSIFIED,1,L4:param
cct_temporal_prior_reliability.artificial_led_source,UNCLASSIFIED,1,L4:paramsub
cct_temporal_prior_reliability.daylight_source,ENV_ARCH,1,L4:paramsub
cct_temporal_prior_reliability.tunable_white_led_system,UNCLASSIFIED,1,L4:paramsub
ceiling_height,ENV_ARCH,1,T60:causal
ceiling_height_and_room_proportions,ENV_ARCH,1,VF3:mech
ceiling_height_proportional_ratio,ENV_ARCH,1,CREA2:causal
ceiling_reflectance,ENV_ARCH,1,L1:architectural_modifier_coefficients
channel_1_circadian_maintenance_threshold,NEURAL_PHYS,1,L3:param
channel_1_circadian_maintenance_threshold.architectural_modifiers,ENV_ARCH,1,L3:paramsub
channel_1_circadian_maintenance_threshold.duration_required_hours,NEURAL_PHYS,1,L3:paramsub
